,DAI,DAI,USDT,USDT,USDC,USDC
,totalGain,tvl,totalGain,tvl,totalGain,tvl
timestamp,,,,,,
2021-09-30,102844784.84293033,2025465213.7916682,9294496.444815999,699847186.810316,50373946.774748325,1888842356.88616
2021-10-31,111608719.58118513,2001429275.7899973,12808053.121923974,701362874.751732,58990477.23757201,1750473316.3384032
2021-11-30,124363042.57378453,2264096008.9316897,14638432.46046995,693640819.0308138,73948184.18693149,1721030505.8935153
2021-12-31,134238697.66536543,2021492344.7535443,17301035.16988468,328833086.4990447,84998432.68354315,1724662265.4347887
2022-01-31,144070203.76161918,2228279091.536589,19410594.395917904,508406265.45441365,94805323.16960551,2455503198.718066
2022-02-28,150866923.6699669,1854948379.766992,20287652.961589385,488852321.9025916,102459350.90453391,2180128527.2116137
2022-03-31,156234842.7160416,1344343061.3192348,21484959.407714523,375210860.3401543,107431042.2607726,1776832455.4030175
2022-04-30,159786466.8970064,1178447262.8907137,22692570.713345606,335159961.14209944,113260904.31359866,1616609408.9918246
2022-05-31,162173958.02369115,677797570.9928424,23252374.73344181,195862433.04541963,115856351.09995943,1024931200.6272298
2022-06-30,146745893.07392877,496291820.21495384,23329266.62921029,103017155.75159158,106663267.00467862,489517817.48498666
2022-07-31,147124462.19582647,448100563.5215456,23388765.433546133,115327484.0894888,106946711.63606799,398849697.37188804
2022-08-31,147763790.39335597,248771418.6442469,23438937.001559034,106316373.21966144,107314696.64276889,350790109.6626315
2022-09-30,147919197.16607234,225438733.55309254,23463992.409517203,135868260.73775786,107493721.31604151,332296519.61674565
